"source","job_id","job_url","job_title","job_company","job_location","job_salary","job_list_date","seniority_level","employment_type","industries","job_description","applicant","get_time"
"linkedin","3603686416","https://www.linkedin.com/jobs/view/3603686416","Surveyor","PT Ricobana Abadi","Berau, East Kalimantan, Indonesia",NA,"2023-05-16","Mid-Senior level","Full-time","Mining","Company Description: PT Ricobana Abadi adalah perusahaan jasa pertambangan yang sangat terintegrasi dan kami menawarkan berbagai macam solusi pertambangan mulai dari eksplorasi hingga eksploitasi serta transportasi. Kami memahami bahwa kondisi setiap klien berbeda-beda dan oleh karena itu kami selalu menganalisis dengan cermat kebutuhan klien dan kemudian menyesuaikan paket layanan yang secara tepat sesuai dengan kebutuhan dan harapan klien kami. Job Description:

Surveyor ","Over 200 applicants",2023-06-12 10:04:18
"linkedin","3601490004","https://www.linkedin.com/jobs/view/3601490004","Surveyor","PT BANTI INDONESIA","Balikpapan, East Kalimantan, Indonesia",NA,"2023-05-13","Mid-Senior level","Full-time","Mining","Company Description: Kami adalah bagian dari BANTI GROUP yang merupakan perusahaan Jasa yang berlokasi di Kalimantan Timur, kami siap membantu anda maupun menjadi patner anda untuk mengembangkan bisnis di Penyangga Ibukota Indonesia Job Description:

Surveyor ","80 applicants",2023-06-12 10:04:26
"linkedin","3618909838","https://www.linkedin.com/jobs/view/3618909838","Surveyor (for Nikel & Coal)","PT. Bintang Mining Indonesia","Kendari, South East Sulawesi, Indonesia",NA,"2023-06-01","Mid-Senior level","Full-time","Mining","Company Description: PT. Bintang Mining Indonesia Job Description:

Surveyor (for Nikel &amp; Coal) ","49 applicants",2023-06-12 10:04:35
"linkedin","3575861999","https://www.linkedin.com/jobs/view/3575861999","Mine Surveyor - Nickel Mining","Michael Page","Surabaya, East Java, Indonesia",NA,"2023-03-29","Entry level","Full-time","Wholesale Furniture and Home Furnishings, Mining, and Oil and Gas","
 • Attractive Remuneration|Great Facilities

<strong>About Our Client

</strong>Our client is a nickel mining company with a significant production and promising new potential sites

<strong>Job Description

</strong>The Mine Surveyor will be responsible in the mine survey activities. The successful candidate will be required to have the proficiency in using mining software and measuring instrument.

<strong>The Successful Applicant
</strong>
 • Bachelor degree of geodetic engineer
 • Minimum 3 years experience as mine surveyor
 • Proficient in using Surpac, ArcGIS, AutoCAD, Global Mapper
 • Proficient in measuring instrument (total station, Geodetic, Theodolite, Drone)

<strong>What's on Offer
</strong>
 • Attractive remuneration
 • Great facilities

<strong>Contact: Michael Ray

</strong><strong>Quote job ref: JN-122022-5878883</strong> ","90 applicants",2023-06-12 10:04:44
"linkedin","3629889816","https://www.linkedin.com/jobs/view/3629889816","Associate Field Engineer","McDermott International, Ltd","Riau Islands, Indonesia",NA,"2023-06-07","Entry level","Full-time","Oil and Gas","<strong>Job Description

</strong><strong>Job Overview:

</strong>Ensure that all work carried out safely in compliance with HS&amp;E policies and procedures.

Prepare Installation Procedure(s) in accordance with the Level II Procedure and with due regard for safety. The scope of procedures required will be defined by the Operations Engineer.

Recommend changes in the technical details, drawings, where these may result in safer and better installation procedures.

Develop (or review those provided by others) loadout and sea fastening plans for the transportation of materials / structures to the offshore site that facilitate safe and timely installation.

Liase with Project Manager, General Superintendent, Barge Superintendent, Diving Manager, Safety Manager E&amp; M Manager, Marine Base Superintendent, Purchasing Personnel, Offshore Service Subcontractors

<strong>Responsibilities

</strong><strong>Key Tasks and Responsibilities:</strong>
 • Actively participate in project Job Safety Analysis, if applicable, and communicate and implement these.
 • Review and retain project drawings and documents, report to the Project Manager discrepancies, errors and omission with respect to the information required to perform the work.
 • Ensure the work is within the capabilities of the proposed equipment.
 • Maintain project files in the office and in the field in accordance with project requirements.
 • Prepare Installation Procedure(s) in accordance with the Level II Procedure and with due regard for safety. The scope of procedures required will be defined by the Operations Engineer. As a minimum, the procedure(s) will outline the following:
 • Methods, techniques and practices to be used to perform to work.
 • The sequence(s) to be used to perform the work.
 • Installation aids, temporary works and consumables required to perform the work.

 • Prepare material lists for construction materials and project consumables and liaise with the Project Coordinator for procurement of requirements.
 • Issue 'Loadout Lists' applicable to the work in accordance with the recommended practice.
 • Coordinate with Marine, E &amp; M and Diving departments to ensure that necessary equipment and personnel are available and readied for the project.
 • Witness / inspect pre-rigging, loadouts, sea fastening and acknowledge the receipt of fabricated structures, line pipe and other materials to be installed offshore. Developing checklists and inspecting loadouts in accordance with Level II Procedures.
 • Coordinate with the Production Engineers and verify loadouts of fabricated items required for the project.
 • Liaise with the customer representative and various subcontractor representatives at the offshore site and with the Operation Engineer.
 • Ensure the contract / project related documentation is maintained and I or transmitted to the Customer at the site:
 • Review Daily Progress Reports.
 • Force Account Sheets and / or Change Order Notification in accordance with contract specifications.
 • As-built documentation (sketches, records, videos) in accordance with approved procedures.

 • Monitor the progress of the work and site conditions and advise the Operations Engineer of any development that may result in changes to the project schedule and / or execution.
 • Advise the Barge Superintendent and I or Barge staff including Subcontractors (such as Surveyor, ROV, NOT, Pile Monitoring personnel) regarding the planning and execution of the work and the contractual and technical aspects
 • of the work. Issuing field sketches, data sheets and checklists in the field where required for information purposes for the Barge staff.
 • Participate in the resolution of any technical problems arising during offshore installation and assist in the formulation of corrective action requirement.
 • Plan and supervise the execution of pipeline pigging and testing operations in accordance with approved project procedures. Responsibilities will include:
 • Assist with procurement of all consumables.
 • Marshalling of all equipment.
 • Pigging and testing calculations and procedure preparation.
 • Supervise and document all operations and operating instrumentation. 
 • Complete pigging and testing reports.

 • Prepare Post-Job Reports in accordance with the Level II Procedures.
 • Prepare / collate as-built documentation and, records in accordance with the contract requirements and the approved project indices.

<strong>Qualifications

</strong><strong>Essential Qualifications and Education: 
</strong>
 • 1-2 Years in Offshore industry
 • Degree in relevant engineering discipline.
 • Working knowledge of design and offshore project execution

<strong>Company Overview and Core Values:

</strong>McDermott is a premier, fully-integrated provider of technology, engineering and construction solutions to the energy industry. For more than a century, customers have trusted McDermott to design and build end-to-end infrastructure and technology solutions—from the wellhead to the storage tank—to transport and transform oil and gas into the products the world needs today.

At McDermott, we hold all employees accountable to follow our 5 core values.

 • Integrity – we maintain a firm adherence to legal and ethical conduct 
 • One Team – we are one company, where everyone is equally important 
 • Go Beyond – we seek courageous and creative solutions 
 • Well-Being – we promote all forms of well-being 
 • Commitment – we are reliable and dependable in delivering quality solutions

","116 applicants",2023-06-12 10:04:54
"linkedin","3619056772","https://www.linkedin.com/jobs/view/3619056772","IP-ES Manager, Project Site","CEVA Logistics","Jakarta Selatan, Jakarta, Indonesia",NA,"2023-05-29","Mid-Senior level","Full-time","Transportation, Logistics, Supply Chain and Storage, Mining, and Oil and Gas","

Job Description : 
 • Directing and overseeing overall Industrial Project process

 • Providing <strong>site/field consultancy</strong> services for industrial projects
 • Conduct &amp; Construct <strong>project feasibility study</strong> detailing feasibility for outsourcing of equipment, manpower, material for project implementation
 • Implementing the policy and developing solutions

 • Coordinate with all related parties to synchronize the client’s operational requirements <strong>at the site</strong>
 • Operations

 •  Supervise Inland Transportation that has been decided for on-time deliveries 
 • Act as first approval for receipted daily operating expenses 
 • Lead &amp; train all of the team at the site, in-conjunction with the customer’s HSE program
 • Lead HSE program at the site including reporting / auditing and system compliance
 • Monitoring the quality

 • Support the process of importation of goods and related documentations
 • Validation of options for MOS (design, engineering and costing) at different steps of the project
 • Manage &amp; control of intermediate storage area outside the site/ island
 • Reporting Activities

 • Costing improvement (import duties, marine-land-air including surveyor, erection, jacking/skidding at all of the sites including pre-fabrication and marshalling yards
 • Optimize costing with solution on type transportation, port, jetty, storage, equipments 

 - Barges, LCT, Port/Jetty voyage over chartered vessels, Liner solutions

 - Trailer, trucks, multi-axles, etc

 - Gateways, airlines, aircrafts etc.

 - Storage areas 

 - Access list of equipment and personnel 
 • QHSE

 • Participate in the set-up and follow-up of internal standard procedures to enhance productivity and transparency
 • Maintain acceptable Health, Safety and Environmental risk levels in his/her area of responsibility
 • Ensure the compliance with applicable legal requirements
 • TEAM MANAGEMENT 

 • Ensure and monitor team compliance to CEVA Code of Conduct and Company’s regulations
 • Ensure team understanding and implementation on CEVA Business Value in daily work behaviours 
 • Plan and monitor team performance including give coaching and counselling needed to deliver expected outcomes
 • Plan and monitor team development together with HR Division
 • Ensure updated Job Description availability for the team by coordinating with HR Division
 • Ensure all changes in Department / Section socialized properly to the team

 

 Requirement :

 
 • Bachelor Degree from the university with relevant qualifications in process &amp; technical management. ( Civil, Instrument, Physics, Industrial, Mechanical, Management) 
 • Have 7 years relevant experience in various different field operations/exposures
 • Have experience 5 years in multi cultural environment with proven working experience as Project Manager in Industrial, Infrastructure, Oil &amp; Gas, Mining &amp; Heavy Equipment related to Transportation &amp; Logistics
 •  Understanding of product knowledge in Industrial Project, Energy Solutions.
 • Strong Project Cost &amp; Budgetary Calculation
 • Proficient Presentation Skills
 • Excellent in English (oral &amp; written)

 ","102 applicants",2023-06-12 10:05:03
"linkedin","3629943110","https://www.linkedin.com/jobs/view/3629943110","EOI Assembly Technician (Mechanic)","Thiess","Central Kalimantan, Indonesia",NA,"2023-06-09","Entry level","Full-time","Mining","Job ID
928642

Job Type
Permanent (Indonesia only)

Location
Indonesia - All

Categories
Mining Maintenance

Applications close
25 Jun 2023 SE Asia Standard Time

<strong>Thiess adalah penyedia jasa pertambangan terbesar di dunia</strong><strong>. </strong><strong>Keahlian kami mencakup berbagai komoditas besar di dunia termasuk batu bara metalurgis dan batu bara termal, bijih besi, tembaga, nikel, emas, berlian dan pasir minyak. </strong>

<strong>Untuk mendukung pengembangan bisnis perusahaan, kami membutuhkan tenaga kerja berpengalaman yang dinamis, memiliki motivasi kerja yang tinggi, menyukai tantangan, dan berkomitmen tinggi untuk bergabung bersama di Batam</strong>

<strong>EOI Assembly Technician</strong>

 • Memiliki pengalaman minimal 3 tahun di posisi yang sama pada perusahaan rebuild/fabrikasi
 • Bersedia mengikuti proses rekrutmen di lokasi proyek sesuai arahan perusahaan
 • Bersedia bekerja dengan sistem shift (Siang/Malam)
 • Memiliki berkas asli yang dapat ditunjukkan pada saat pengetesan
 • Wajib sudah divaksin booster
 • Bersedia ditempatkan di project area Batam dengan penerimaan lokal

<strong><u>Tata Cara Pendaftaran</u></strong>

 • Mengisi formulir secara online melalui handphone / komputer
 • Mengunjungi halaman karir pada website http://thiess.com 
 • Klik tombol APPLY NOW
 • Isi data diri dengan benar dan lengkap

<strong> Hanya lamaran yang memenuhi syarat yang akan diproses. </strong>

Mohon waspada akan adanya usaha penipuan atau penyesatan informasi terkait proses penerimaan kerja dengan mengatasnamakan Thiess. Kami tidak pernah meminta kandidat untuk melakukan pembayaran dalam bentuk apapun atau menggunakan jasa/agen perjalanan tertentu untuk transportasi dan akomodasi selama proses rekrutmen.

<strong><u>How To Apply</u></strong>

Applications close
25 Jun 2023 SE Asia Standard Time ","Be among the first 25 applicants",2023-06-12 10:26:08
"linkedin","3629944083","https://www.linkedin.com/jobs/view/3629944083","EOI Supervisor Mechanic","Thiess","Central Kalimantan, Indonesia",NA,"2023-06-09","Mid-Senior level","Full-time","Mining","Job ID
928638

Job Type
Permanent Full Time

Location
Indonesia - All

Categories
Mining Maintenance

Applications close
25 Jun 2023 SE Asia Standard Time

<strong><u>About Us</u></strong>

With a global business, we offer diverse and rewarding careers. We are committed to Thiess being a company and a culture where great people can excel and where they are developed and supported to reach their highest potential. Join our team today.

<strong><u>About The Role</u></strong>

In this role, you will:

 • Ensure that the maintenance department goals are achieved, by following the procedures set out in the TGS
 • Ensure maximum communication levels are maintained between workshop and operations personnel regarding breakdowns safety issues, and prioritizing of equipment repairs
 • Ensure the accurate completion of daily breakdown reports, supervisors shift report, PCR’s for review by senior supervisors before end of shift every day. 
 • Ensure accurate breakdown hour information is provided
 • Analysis of component condition and recommendation of parts required.
 • Ensure correct procedures used when troubleshooting breakdowns and failures.
 • Review operator's checklist summary and mechanical inspection sheets, ensure submission to senior supervisor with repair and parts recommendation. 
 • Ensure mechanic raise recommended parts lists accurately to address all known work, breakdowns, and planned maintenance
 • Prepare parts equipment and manpower for planned work and shut days.
 • Ensure all repairs are carried out in a cost effective and timely manner.
 • Investigation and reporting of all accident damage to all equipment in the field and associated area, this include operator abuse.
 • Ensure a safe working environment for all employee by ensure all activities are carry out according to the work procedures in the project management plan
 • Ensure that there is no impact on the environment from the activities that are carried out to operate and repair

<strong> About you </strong>

 • Technical high school level or related discipline. Trade qualification prefered
 • Minimum of 8 years’ experience in Heavy Equipment Mining maintenance/assembly of which at least one or 3 years in Mechanical assembly/repair/service supervision/ management role.
 • Proficient in handling skill diagnostic skills in all aspects of mechanical repairs, mechanic experience on Cat, Komatsu and Liebherr equipment, and knowledge of welding procedures.
 • Willingness to be hired as local worker in Batam

<strong><u>About Us</u></strong>

We partner with our clients to deliver excellence in open cut and underground mining in Australia, Asia, Africa and the Americas. For more than 80 years, we’ve operated in diverse commodities, geologies, environments and cultures. Our team uses that insight to optimise solutions for each project and create lasting value for our clients and the communities we live and work in.

Visit our website to learn more – http://www.thiess.com

<strong>Driving a diverse, inclusive and respectful culture</strong>

We’re committed to safe, healthy and respectful workplaces. A place where everyone matters always.

We welcome and celebrate the differences and similarities among people including gender, identity, ethnicity, race, heritage, sexual orientation, disability, age, culture, religion, language, appearance, parental status and education.

We believe diverse experiences and perspectives not only make us more innovative, productive and engaged, but are crucial to our success.

If you require assistance to apply for this job because of disability or special needs, please contact us here . No other requests will be acknowledged.

<strong><u>How To Apply</u></strong>

This role is an opportunity to take the next step in your career. With our culture of recognition, development, and a stimulating and satisfying work environment, there is no better time to join Thiess.

To apply for this role, please click the ‘Apply’ button or the link below.

<strong><u>How To Apply</u></strong>

Applications close
25 Jun 2023 SE Asia Standard Time ","Be among the first 25 applicants",2023-06-12 10:26:18
"linkedin","3630778283","https://www.linkedin.com/jobs/view/3630778283","Svc Op-DAS, I","Halliburton","Tangerang, Banten, Indonesia",NA,"2023-05-14","Not Applicable","Full-time","Oil and Gas","We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Under direct supervision, assists during the rigging up and down of Data Acquisition Services (DAS) service line equipment on work locations during well testing and/or perforating operations for the purpose of providing the customer with essential reservoir information such as (but not limited to): downhole and or surface pressures and temperatures by the use of downhole memory gauges, downhole shut in tools, acoustic telemetry systems and surface data acquisition. May assist other Testing and Subsea prodict service lines (PSL) on location as needed. Works in the Data Acquisition Services lab, assisting in the repair and maintenance of Data Acquisition equipment. Works in the Testing and Subsea workshop assisting as needed. Assists in assembly and preparation of equipment for installation and service. Performs in the rigging up and rigging down on a location of DAS service line equipment and in the clean up, repair, and preparation of equipment for the next job. Assembles and prepares, as directed, equipment for installation and service. Drives a truck or other assigned equipment as required. Promotes safety awareness and environmental consciousness, and complies with all applicable safety and environmental procedures and regulations. Ensures compliance with Health, Safety, and Environmental (HSE) regulations and guidelines. Promotes and takes an active part in quality improvement processes. Demonstrates detailed understanding of downhole hydraulics, including basic job calculations, working knowledge of wireline Blow Out Prevention (BOP) function and of basic reservoir – i.e., BHP, BHT, hydrocarbon characteristics, as well as an understanding of instrumentation troubleshooting. Job tasks, correctly performed, impact indirectly on cost containment, efficiency, profitability of operations. Skills are typically acquired through completion of high school or similar education and 1 ½ years experience of Data Acquisition Services experience. Must be able to visually identify and describe various types DAS equipment and explain function of each. Must have demonstrated ability to work safely with hand tools. Must follow all Health, Safety and Environment best practices, be able to complete Job Safety Analysis (JSA) on prescribed tasks and demonstrate Safety in Lifting. Must be able to explain the function of the mobilization documentation. Must be capable of understanding/navigating HMS, iLearn and Competency sites on HalWorld. Must have successfully passed company tests or met task guideline requirements. Must have met the minimum competency requirements for Operator Asst II-DAS. Should have full knowledge of one type service within Testing and Subsea (DAS) Product Service Line (PSL). The ability to perform basic mathematical calculations involving addition, subtraction, multiplication, and division is required. Basic reading comprehension and writing skills are required. Basic computer skills are required. Licensure to drive commercial vehicles may be required.

<strong>Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation</strong>.

<strong><u>Location</u></strong>

Kawasan Industri &amp; Pergudangan, Tangerang Selatan, Banten, 15314, Indonesia

<strong><u>Job Details</u></strong>

<strong>Requisition Number:</strong> 175307

<strong>Experience Level: </strong>Experienced Hire

<strong>Job Family:</strong> Operations

<strong>Product Service Line: </strong> Testing and Subsea

<strong>Full Time / Part Time: </strong>Full Time

<strong>Additional Locations for this position: </strong>

<u><strong>Compensation Information</strong></u> ","Be among the first 25 applicants",2023-06-12 10:26:26
"linkedin","3629940540","https://www.linkedin.com/jobs/view/3629940540","EOI Supervisor Production","Thiess","Central Kalimantan, Indonesia",NA,"2023-06-09","Mid-Senior level","Full-time","Mining","Job ID
928635

Job Type
Permanent Full Time

Location
Indonesia - All

Categories
Mining Maintenance

Applications close
25 Jun 2023 SE Asia Standard Time

<strong><u>About Us</u></strong>

With a global business, we offer diverse and rewarding careers. We are committed to Thiess being a company and a culture where great people can excel and where they are developed and supported to reach their highest potential. Join our team today.

<strong><u>About The Role</u></strong>

In this role, you will:

 • Ensure maximum communication levels are maintained between workshop and operations personnel regarding breakdowns safety issues, and prioritizing of equipment repairs.
 • Ensure to accurate the completion of daily breakdown report for reviewing by the Superintendent before end of shift every day.
 • Analysis of component condition and recommendation of parts required. Ensure that the correct procedures are used when breakdowns and failures troubleshooting. 
 • Ensure all WOs open status have been compared with current break down equipment to make sure all WOs are controlled and closed if the job has been done.
 • Review DOOD (Daily Outstanding Operator Defect), SOS report, mechanical inspection are analysed and reviewed and also ensure it is submitted in daily complete with the part recommendation.
 • Ensure the mechanic raises the list of part recommended accurately to address all backlog, breakdowns and planned maintenance.
 • Ensure all break down machine are reported in IMTC, and all information repair description, coding, start and finish have been filled in IMTC correctly.
 • Prepare parts equipment and manpower for planned work and shutdown days.
 • Ensure all repairs are carried out in an effective cost and timely manner.
 • Investigation and reporting of all accident damage to all equipment in the field and associated area, this is included with the operator abuse.

<strong> About you </strong>

 • Technical high school level or related discipline. Trade qualification prefered
 • Minimum of 8 years’ experience in Heavy Equipment Mining maintenance/assembly of which at least one or 3 years in Mechanical assembly/repair/service supervision/ management role.
 • Proficient in handling skill diagnostic skills in all aspects of mechanical repairs, mechanic experience on Cat, Komatsu and Liebherr equipment, and knowledge of welding procedures.
 • Willingness to be hired as local worker in Batam

<strong><u>About Us</u></strong>

We partner with our clients to deliver excellence in open cut and underground mining in Australia, Asia, Africa and the Americas. For more than 80 years, we’ve operated in diverse commodities, geologies, environments and cultures. Our team uses that insight to optimise solutions for each project and create lasting value for our clients and the communities we live and work in.

Visit our website to learn more – http://www.thiess.com

<strong>Driving a diverse, inclusive and respectful culture</strong>

We’re committed to safe, healthy and respectful workplaces. A place where everyone matters always.

We welcome and celebrate the differences and similarities among people including gender, identity, ethnicity, race, heritage, sexual orientation, disability, age, culture, religion, language, appearance, parental status and education.

We believe diverse experiences and perspectives not only make us more innovative, productive and engaged, but are crucial to our success.

If you require assistance to apply for this job because of disability or special needs, please contact us here . No other requests will be acknowledged.

<strong><u>How To Apply</u></strong>

This role is an opportunity to take the next step in your career. With our culture of recognition, development, and a stimulating and satisfying work environment, there is no better time to join Thiess.

To apply for this role, please click the ‘Apply’ button or the link below.

<strong><u>How To Apply</u></strong>

Applications close
25 Jun 2023 SE Asia Standard Time ","Be among the first 25 applicants",2023-06-12 10:26:34
"linkedin","3628933386","https://www.linkedin.com/jobs/view/3628933386","Lowbed Operators","PT Bohai Drilling Service Indonesia","Jakarta, Jakarta, Indonesia",NA,"2023-06-11","Entry level","Full-time","Oil and Gas","Company Description: PT Bohai Drilling Service Indonesia, adalah sebuah perusahaan yang bergerak di industri minyak dan gas yang sudah berdiri cukup lama di Indonesia. Beberapa layanan yang dikerjakan adalah seperti Survei Non Seismik, Pemboran, Operasi Sumur Pemboran dan Penelitian dan pengembangan minyak dan gas bumi. Job Description:

Lowbed Operators ","42 applicants",2023-06-12 10:26:43
